t,Antenna ID,Event Code,Device ID,x,y, Tile ID
1860,8,2,94,5008.779808,5887.800412,230
1860,7,2,53,4312.083369,1969.659951,68
1860,17,2,64,670.980719,9079.943553,361
1860,7,2,37,4879.977199,3982.194577,149
1860,8,2,74,5013.491356,7220.972134,290
1860,8,2,72,5066.090369,6835.479271,270
1860,6,2,42,3205.272319,7886.414037,306
1860,3,2,28,1706.306858,4533.673063,183
1860,2,2,67,182.916560,8017.336519,320
1920,3,2,28,1706.306858,4533.673063,183
1920,7,2,37,4879.977199,3982.194577,149
1920,22,2,78,8669.829450,4505.662845,197
1920,5,2,51,2118.296203,3557.773910,144
1920,6,2,42,3205.272319,7886.414037,306
1920,6,2,61,4301.983312,6433.567226,248
1920,10,2,85,8353.182447,6997.987108,276
1920,8,2,72,5066.090369,6835.479271,270
1920,7,2,53,4312.083369,1969.659951,68
1920,17,2,64,670.980719,9079.943553,361
1920,8,2,94,5008.779808,5887.800412,230
1920,8,2,74,5013.491356,7220.972134,290
1920,2,2,67,182.916560,8017.336519,320
1920,4,2,44,1769.004785,6757.952509,263
1980,2,2,67,182.916560,8017.336519,320
1980,22,2,78,8669.829450,4505.662845,197
1980,3,2,28,1706.306858,4533.673063,183
1980,4,2,44,1769.004785,6757.952509,263
1980,7,2,53,4312.083369,1969.659951,68
1980,7,2,37,4879.977199,3982.194577,149
1980,8,2,72,5066.090369,6835.479271,270
1980,6,2,42,3205.272319,7886.414037,306
1980,6,2,61,4301.983312,6433.567226,248
1980,8,2,94,5008.779808,5887.800412,230
1980,17,2,64,670.980719,9079.943553,361
1980,5,2,51,2118.296203,3557.773910,144
1980,10,2,85,8353.182447,6997.987108,276
1980,8,2,74,5013.491356,7220.972134,290
2040,2,2,67,182.916560,8017.336519,320
2040,4,2,44,1769.004785,6757.952509,263
2040,22,2,78,8669.829450,4505.662845,197
2040,10,2,85,8353.182447,6997.987108,276
2040,8,2,94,5008.779808,5887.800412,230
2040,5,2,51,2118.296203,3557.773910,144
2040,7,2,37,4879.977199,3982.194577,149
2040,7,2,53,4312.083369,1969.659951,68
2040,17,2,64,670.980719,9079.943553,361
2040,8,2,74,5013.491356,7220.972134,290
2040,6,2,61,4301.983312,6433.567226,248
2040,6,2,42,3205.272319,7886.414037,306
2040,8,2,72,5066.090369,6835.479271,270
2040,3,2,28,1706.306858,4533.673063,183
2100,17,2,64,670.980719,9079.943553,361
2100,3,2,28,1706.306858,4533.673063,183
2100,8,2,72,5066.090369,6835.479271,270
2100,4,2,44,1769.004785,6757.952509,263
2100,5,2,51,2118.296203,3557.773910,144
2100,22,2,78,8669.829450,4505.662845,197
2100,10,2,85,8353.182447,6997.987108,276
2100,8,2,94,5008.779808,5887.800412,230
2100,8,2,74,5013.491356,7220.972134,290
2100,7,2,53,4312.083369,1969.659951,68
2100,6,2,42,3205.272319,7886.414037,306
2100,7,2,37,4879.977199,3982.194577,149
2100,6,2,61,4301.983312,6433.567226,248
2100,2,2,67,182.916560,8017.336519,320
2160,8,2,94,5008.779808,5887.800412,230
2160,4,2,44,1769.004785,6757.952509,263
2160,2,2,67,182.916560,8017.336519,320
2160,17,2,64,670.980719,9079.943553,361
2160,7,2,37,4879.977199,3982.194577,149
2160,6,2,61,4301.983312,6433.567226,248
2160,6,2,42,3205.272319,7886.414037,306
2160,22,2,78,8669.829450,4505.662845,197
2160,7,2,53,4312.083369,1969.659951,68
2160,5,2,51,2118.296203,3557.773910,144
2160,8,2,74,5013.491356,7220.972134,290
2160,10,2,85,8353.182447,6997.987108,276
2160,8,2,72,5066.090369,6835.479271,270
2160,3,2,28,1706.306858,4533.673063,183
2220,22,2,78,8669.829450,4505.662845,197
2220,6,2,61,4301.983312,6433.567226,248
